Drug Regimen,Mean Tumor Volume (mm3) Change,Median Tumor Volume (mm3) Change,Tumor Volume (mm3) Change Variance,Tumor Volume (mm3) Change Standard Deviation,Tumor Volume (mm3) Change SEM
Ramicane,-10.044405208,-10.1513727,30.101009536516088,5.486438693407235,1.2268049872843705
Capomulin,-8.7638862,-7.688154230000002,31.460536995474932,5.608969334510123,1.2239774545751774
Infubinol,20.75556227777778,21.08306589,11.787426314090972,3.4332821489197434,1.1444273829732479
Placebo,23.084082218181816,24.042840819999995,20.098782934509767,4.483166619088539,1.3517255952875322
Ceftamin,19.132421336153847,19.299830029999995,10.585242391839405,3.2534969481835088,0.9023576977877883
Stelasyn,23.438310430909088,24.29914907,27.34081776792383,5.22884478330767,1.5765560212035203
Zoniferol,20.96088788928571,20.684688779999995,14.100300931175136,3.7550367416544854,1.0035757830013612
Ketapril,25.662957608181816,24.872250789999995,23.229260261496467,4.819674289980234,1.4531864755988184
Propriva,21.258528688571428,19.957561850000005,24.967290446980897,4.996727974082729,1.8885856554946423
Naftisol,24.265506211538465,24.563620760000006,26.07910387398932,5.106770395659993,1.4163632702748945
